Depth (ft),%Na,%Mg,%Al,%Si,%P,%S,%K,%Ca,%Ti,%Mn,%Fe,V ppm,Cr ppm,Co ppm,Ni ppm,Cu ppm,Zn ppm,Ga ppm,As ppm,Pb ppm,Th ppm,Rb ppm,U ppm,Sr ppm,Y ppm,Zr ppm,Nb ppm,Mo ppm,Quartz,Dolomite,Illite,Calcite,Gypsum,Microclin,Albite,Pyrite,Kaolinite
5687.333,0.1696,0.2749,0.5288,2.9845,0,0.7599,0.2237,34.943,0.0376,0.0135,1.1015,47,17,5,18,18,8,6,21,15,3,18,5,230,23,28,2,0,3.4,5.7,4.3,66.8,6.1,3.9,3.5,4,2.3
5687.667,0.1554,0.9439,0.3173,2.7747,0,0.4536,0.1862,36.113,0.0295,0.0134,1.1228,44,19,7,21,12,13,4,19,13,3,16,0,237,20,21,1,0,,,,,,,,,
5688,0.383,0,0.8012,4.2305,0,1.4558,0.3684,24.2065,0.0834,0.0129,1.7039,41,31,0,72,27,19,7,64,3,4,37,0,328,20,51,4,0,,,,,,,,,
5688.333,0.1085,0.7491,0.9407,3.1622,0.1229,1.5458,0.2528,32.742,0.0357,0.0137,1.1028,52,21,3,28,17,23,8,14,13,5,20,10,2414,0,0,7,0,,,,,,,,,
5688.667,0.11,0,0.4846,2.8375,0.0823,1.077,0.2029,33.3509,0.0341,0.0135,1.2172,52,17,3,28,22,18,8,28,16,4,21,5,992,5,8,3,0,2.1,5.7,5.6,60.2,6.6,4.7,4.7,6.8,3.5
5689,0.1341,0.7633,0.1612,2.1569,0.0103,1.1212,0.1365,35.8132,0.0198,0.0131,1.1028,50,16,6,17,17,12,3,15,11,3,18,4,319,17,17,2,0,,,,,,,,,
5689.333,0.1725,0.5883,0.244,2.4161,0,0.327,0.1592,35.796,0.0196,0.0137,0.8483,41,9,6,8,14,4,1,5,7,3,17,0,247,18,18,0,0,,,,,,,,,
5689.667,0.1568,0.5342,0.08,2.1453,0,0.3441,0.1184,35.6717,0.0192,0.0134,0.9386,33,9,7,11,14,6,5,1,6,3,12,0,225,14,19,1,0,,,,,,,,,
5692.333,0.207,0.9242,0.1968,2.2352,0,0.3659,0.1417,36.1424,0.0174,0.0132,0.9311,45,13,5,15,14,7,3,9,9,3,12,0,204,21,22,2,0,1.7,6.8,5.5,59.3,6,4.7,6.7,4.9,4.5
5692.667,0.148,0,0.1065,2.3303,0,0.5389,0.1306,33.6811,0.0192,0.0136,0.8256,33,9,7,15,14,6,4,7,7,3,11,5,217,14,27,1,0,,,,,,,,,
5693,0.1361,1.0029,0.1566,2.267,0.0174,0.7132,0.1719,36.3712,0.0202,0.0135,1.0498,63,10,6,15,15,8,3,15,11,3,17,0,239,22,26,2,0,,,,,,,,,
5693.333,0.1517,1.9002,0.7216,2.9794,0.0074,1.986,0.1935,33.9896,0.0361,0.0127,1.5431,65,17,4,43,18,19,8,37,12,3,17,0,255,22,23,1,0,,,,,,,,,
5693.667,0.1262,1.025,0.5248,2.8413,0.0394,1.7661,0.2032,34.1887,0.027,0.0131,1.2931,60,11,5,17,17,16,4,18,13,3,14,0,200,14,26,2,0,2.6,4.9,4.8,64.7,7.6,3.7,3.9,4,3.8
5694,0.2629,0.7178,0.4111,2.7502,0,0.78,0.1921,34.9987,0.0279,0.0133,1.0591,45,11,6,17,17,14,5,21,16,3,17,0,210,17,28,0,0,,,,,,,,,
5694.333,0.1594,0.054,0.609,2.934,0,0.2733,0.2236,34.7024,0.0414,0.0136,0.9154,42,16,6,13,9,6,4,4,7,3,13,0,208,19,24,1,0,,,,,,,,,
5694.667,0.1006,0.2627,0.3806,3.5568,0,0.3672,0.2485,34.8785,0.0336,0.0138,0.8193,45,15,6,11,16,5,4,9,9,3,19,4,177,22,35,1,4,,,,,,,,,
5695.333,0.1111,0.6811,0.2971,2.5329,0,0.3287,0.1682,36.9801,0.035,0.0134,0.9614,36,9,6,8,12,3,3,6,9,2,15,0,208,23,23,1,3,,,,,,,,,
5695.667,0.1671,0.3988,0.7873,3.3687,0,0.7163,0.278,34.041,0.0369,0.0131,1.0919,51,19,4,12,13,14,7,11,11,4,24,0,191,23,38,1,0,,,,,,,,,
5696,0.2432,0,0.4965,3.2344,0,0.4327,0.207,32.5289,0.0306,0.0139,0.9362,37,17,6,7,11,9,5,4,8,3,19,0,174,19,44,2,0,5.6,4.2,4.1,63.1,7.2,4.3,4.4,4.5,2.6
5696.333,0.2196,0.5542,0.183,2.2065,0,0.1944,0.1317,36.7333,0.0133,0.0137,0.867,41,10,6,12,12,12,5,0,7,3,15,0,243,24,26,3,0,,,,,,,,,
5696.667,0.1401,0.6659,0.3572,2.7017,0,0.4798,0.1601,35.9163,0.0283,0.0135,0.913,36,16,6,17,12,10,4,7,10,3,18,0,218,21,26,1,0,,,,,,,,,
5697,0.1376,1.2258,0.2425,2.4445,0.009,1.366,0.1436,35.3529,0.0208,0.0129,1.3464,53,9,5,25,19,16,8,34,22,3,16,0,207,23,20,2,0,,,,,,,,,
